what,kind,bundleId,bundleVersion,description,time
started,bundle,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.PDT",1494751187135
os,sysinfo,,,"linux",1494751187136
arch,sysinfo,,,"x86_64",1494751187136
ws,sysinfo,,,"gtk",1494751187136
locale,sysinfo,,,"en_GB",1494751187136
processors,sysinfo,,,"4",1494751187136
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1494751187136
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1494751187136
java.specification.name,sysinfo,,,"Java Platform API Specification",1494751187136
java.specification.vendor,sysinfo,,,"Oracle Corporation",1494751187136
java.specification.version,sysinfo,,,"1.8",1494751187136
java.vendor,sysinfo,,,"Oracle Corporation",1494751187136
java.version,sysinfo,,,"1.8.0_121",1494751187136
java.vm.info,sysinfo,,,"mixed mode",1494751187136
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1494751187136
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494751187136
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1494751187136
java.vm.specification.version,sysinfo,,,"1.8",1494751187136
java.vm.vendor,sysinfo,,,"Oracle Corporation",1494751187136
java.vm.version,sysinfo,,,"25.121-b13",1494751187136
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1494751188195
error,log,,,"Unhandled event loop exception",1494751188267
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1494751190192
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1494751190195
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1494751190258
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1494751190287
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1494751190291
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1494751190319
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1494751190433
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1494751190434
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1494751190436
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1494751190474
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1494751190524
error,log,,,"The project description file (.project) for 'Test' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1494751192299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751192655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751194987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751197135
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494751198730
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751198837
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1494751199112
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1494751199229
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1494751199230
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1494751199230
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1494751199231
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1494751199231
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1494751199232
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1494751199233
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1494751199234
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1494751199235
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1494751199236
